dont_email,dont_call,occupation,received_free_copy,total_site_visit,total_time_spend_on_site,avg_page_view_per_visit,converted
No,No,Working Professional,No,4.0,981.0,2.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,8.0,275.0,4.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,3.0,93.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Student,Yes,3.0,34.0,3.0,0
No,No,Unemployed,Yes,2.0,172.0,2.0,1
No,No,Unemployed,Yes,2.0,1213.0,2.0,0
Yes,No,Unemployed,No,17.0,642.0,2.13,0
No,No,Unemployed,No,4.0,313.0,4.0,0
No,No,Student,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,10.0,1537.0,10.0,1
No,No,Unemployed,Yes,9.0,1424.0,2.25,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,535.0,1.0,0
Yes,No,Unemployed,No,3.5977173233270796,1952.0,2.465630081300813,1
No,No,Unemployed,Yes,1.0,44.0,1.0,0
No,No,Working Professional,Yes,8.0,1508.0,8.0,1
No,No,Unemployed,Yes,5.0,313.0,5.0,0
No,No,Working Professional,Yes,2.0,1496.0,2.0,1
No,No,Unemployed,No,2.0,1310.0,1.0,1
No,No,Unemployed,No,8.0,984.0,8.0,0
No,No,Unemployed,No,2.0,235.0,2.0,1
No,No,Unemployed,No,3.0,50.0,3.0,0
Yes,No,Unemployed,No,1.0,137.0,1.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,8.0,76.0,8.0,0
No,No,Unemployed,No,5.0,24.0,5.0,0
No,No,Student,Yes,5.0,1487.0,5.0,1
No,No,Unemployed,No,9.0,100.0,4.5,0
No,No,Unemployed,Yes,9.0,1233.0,4.5,1
No,No,Unemployed,No,13.0,20.0,2.6,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,6.0,251.0,6.0,1
No,No,Unemployed,Yes,11.0,523.0,2.2,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,5.0,33.0,2.5,1
No,No,Unemployed,No,4.0,2111.0,4.0,1
No,No,Working Professional,No,3.0,170.0,3.0,1
No,No,Unemployed,No,2.0,2140.0,2.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
Yes,No,Unemployed,No,1.0,1323.0,1.0,0
No,No,Unemployed,No,3.0,538.0,1.5,0
No,No,Working Professional,Yes,8.0,1148.0,4.0,1
No,No,Unemployed,Yes,4.0,165.0,4.0,0
No,No,Unemployed,No,6.0,612.0,6.0,1
No,No,Unemployed,No,8.0,422.0,1.6,1
No,No,Unemployed,Yes,5.0,75.0,2.5,0
No,No,Working Professional,No,2.0,254.0,2.0,1
No,No,Unemployed,No,3.0,1319.0,3.0,1
No,No,Unemployed,No,8.0,88.0,8.0,1
No,No,Unemployed,Yes,4.0,1376.0,4.0,0
No,No,Unemployed,Yes,6.0,322.0,3.0,0
No,No,Working Professional,Yes,8.0,257.0,4.0,1
No,No,Unemployed,No,5.0,1436.0,5.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,5.0,551.0,2.5,1
No,No,Unemployed,No,2.0,399.0,2.0,0
Yes,No,Unemployed,No,4.0,89.0,2.0,0
No,No,Unemployed,No,7.0,961.0,1.75,0
No,No,Working Professional,No,2.0,780.0,2.0,1
No,No,Unemployed,Yes,3.0,35.0,3.0,0
No,No,Unemployed,No,4.0,1891.0,4.0,1
No,No,Unemployed,No,3.0,1713.0,3.0,1
No,No,Unemployed,Yes,4.0,752.0,1.33,0
No,No,Unemployed,No,3.0,552.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
Yes,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,4.0,1394.0,4.0,1
Yes,No,Unemployed,Yes,1.0,1465.0,1.0,0
No,No,Unemployed,Yes,2.0,213.0,2.0,0
No,No,Unemployed,No,2.0,243.0,2.0,0
No,No,Unemployed,Yes,2.0,46.0,2.0,0
No,No,Unemployed,No,2.0,459.0,2.0,0
No,No,Unemployed,No,2.0,1122.0,2.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,Yes,6.0,317.0,2.0,1
No,No,Unemployed,Yes,3.0,138.0,3.0,0
No,No,Unemployed,No,4.0,984.0,2.0,1
No,No,Unemployed,Yes,3.0,866.0,3.0,0
No,No,Unemployed,No,3.0,262.0,3.0,1
No,No,Unemployed,No,5.0,346.0,2.5,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,Yes,1.0,1102.0,1.0,1
No,No,Unemployed,No,2.0,1705.0,2.0,1
No,No,Unemployed,No,9.0,214.0,3.0,1
No,No,Unemployed,No,3.0,55.0,3.0,0
No,No,Student,No,9.0,1241.0,3.0,0
No,No,Unemployed,No,7.0,845.0,7.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,2.0,263.0,2.0,1
No,No,Unemployed,Yes,2.0,882.0,2.0,1
No,No,Unemployed,Yes,6.0,1812.0,2.0,1
No,No,Unemployed,No,5.0,46.0,5.0,0
No,No,Working Professional,Yes,5.0,876.0,5.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,7.0,255.0,2.33,0
No,No,Unemployed,No,6.0,45.0,3.0,0
No,No,Unemployed,Yes,4.0,562.0,4.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,7.0,471.0,2.33,0
No,No,Unemployed,Yes,2.0,638.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,1378.0,4.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Student,Yes,3.0,206.0,1.5,0
No,No,Unemployed,Yes,3.0,810.0,1.5,0
No,No,Unemployed,No,7.0,1237.0,7.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
Yes,No,Unemployed,Yes,12.0,935.0,4.0,0
No,No,Unemployed,Yes,9.0,1442.0,4.5,0
No,No,Working Professional,No,2.0,1453.0,1.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,5.0,157.0,5.0,0
No,No,Unemployed,No,2.0,111.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Student,Yes,2.0,37.0,2.0,0
No,No,Unemployed,Yes,3.0,141.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,Yes,2.0,1232.0,2.0,1
Yes,No,Unemployed,Yes,5.0,406.0,5.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,Yes,6.0,386.0,2.0,1
No,No,Unemployed,Yes,5.0,1465.0,5.0,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,3.0,1628.0,1.0,0
No,No,Unemployed,No,4.0,115.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
Yes,No,Unemployed,No,6.0,378.0,3.0,0
No,No,Unemployed,No,2.0,1019.0,1.0,1
No,No,Unemployed,Yes,2.0,418.0,2.0,1
No,No,Unemployed,Yes,4.0,158.0,1.33,0
No,No,Unemployed,Yes,3.0,1317.0,1.0,1
No,No,Unemployed,Yes,3.0,1577.0,1.5,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,3.0,117.0,1.5,1
No,No,Unemployed,Yes,3.0,979.0,1.5,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,9.0,890.0,9.0,0
No,No,Unemployed,No,4.0,374.0,4.0,0
No,No,Unemployed,No,4.0,22.0,4.0,0
No,No,Unemployed,No,2.0,268.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,363.0,4.0,1
No,No,Unemployed,Yes,1.0,36.0,1.0,0
Yes,No,Unemployed,No,3.0,1738.0,3.0,1
No,No,Unemployed,No,4.0,1501.0,4.0,0
No,No,Unemployed,No,2.0,67.0,2.0,1
No,No,Unemployed,No,8.0,890.0,8.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,1600.0,4.0,1
No,No,Unemployed,No,3.0,175.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,3.5977173233270796,844.0,2.465630081300813,1
No,No,Unemployed,Yes,4.0,258.0,4.0,0
No,No,Unemployed,Yes,2.0,528.0,2.0,1
No,No,Unemployed,No,3.5977173233270796,1193.0,2.465630081300813,1
No,No,Unemployed,No,2.0,252.0,2.0,1
No,No,Unemployed,No,7.0,279.0,3.5,0
No,No,Unemployed,Yes,1.0,418.0,1.0,0
No,No,Unemployed,Yes,11.0,1914.0,3.67,1
No,No,Unemployed,No,2.0,723.0,2.0,0
Yes,No,Unemployed,Yes,2.0,171.0,2.0,0
No,No,Unemployed,No,2.0,4.0,2.0,0
No,No,Unemployed,No,4.0,1341.0,4.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,3.0,1412.0,3.0,0
No,No,Unemployed,Yes,1.0,234.0,1.0,0
No,No,Unemployed,No,4.0,904.0,4.0,0
No,No,Working Professional,Yes,5.0,803.0,2.5,1
No,No,Unemployed,No,7.0,115.0,3.5,0
No,No,Unemployed,No,8.0,568.0,4.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,3.0,202.0,3.0,0
Yes,No,Unemployed,No,1.0,305.0,1.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,7.0,600.0,2.33,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,Yes,3.0,1346.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,2.0,182.0,2.0,0
No,No,Unemployed,No,3.0,481.0,3.0,1
No,No,Working Professional,Yes,3.0,117.0,3.0,1
No,No,Unemployed,No,2.0,662.0,1.0,1
No,No,Unemployed,Yes,4.0,261.0,4.0,0
No,No,Student,No,3.0,739.0,3.0,1
No,No,Unemployed,Yes,3.0,389.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,4.0,63.0,2.0,1
No,No,Unemployed,No,5.0,263.0,2.5,1
No,No,Unemployed,Yes,2.0,1015.0,2.0,0
No,No,Unemployed,Yes,2.0,725.0,2.0,1
No,No,Unemployed,No,7.0,998.0,1.75,1
No,No,Unemployed,No,3.0,1152.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,No,4.0,1602.0,4.0,1
No,No,Unemployed,Yes,2.0,364.0,2.0,0
No,No,Student,No,3.0,383.0,1.0,0
No,No,Unemployed,Yes,3.0,482.0,3.0,1
No,No,Unemployed,No,2.0,9.0,2.0,1
No,No,Unemployed,No,3.0,954.0,3.0,1
No,No,Student,No,2.0,1619.0,2.0,0
No,No,Unemployed,No,3.0,149.0,3.0,1
No,No,Student,Yes,7.0,32.0,7.0,0
No,No,Unemployed,No,3.0,949.0,3.0,1
No,No,Unemployed,No,3.0,398.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,10.0,921.0,10.0,1
No,No,Working Professional,No,7.0,1212.0,3.5,1
No,No,Unemployed,Yes,2.0,1087.0,2.0,0
No,No,Unemployed,Yes,4.0,261.0,4.0,0
No,No,Unemployed,No,3.0,268.0,3.0,0
No,No,Unemployed,Yes,3.0,1368.0,1.5,1
No,No,Unemployed,No,3.0,92.0,1.0,1
Yes,No,Unemployed,Yes,3.0,335.0,3.0,0
No,No,Unemployed,No,5.0,37.0,2.5,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,1.0,1013.0,1.0,1
No,No,Unemployed,No,5.0,274.0,5.0,0
No,No,Working Professional,Yes,2.0,1512.0,2.0,1
No,No,Unemployed,No,2.0,151.0,2.0,0
Yes,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,3.0,1202.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,Yes,9.0,1123.0,9.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,3.5977173233270796,182.0,2.465630081300813,1
No,No,Unemployed,Yes,2.0,1486.0,2.0,1
No,No,Unemployed,No,4.0,936.0,4.0,1
No,No,Unemployed,No,13.0,1409.0,2.6,1
No,No,Unemployed,No,4.0,75.0,4.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,1.0,961.0,1.0,0
No,No,Working Professional,No,0.0,0.0,0.0,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,2.0,326.0,2.0,0
No,No,Unemployed,Yes,12.0,179.0,6.0,1
No,No,Unemployed,No,11.0,1714.0,5.5,1
No,No,Unemployed,No,5.0,908.0,1.67,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,3.5977173233270796,827.0,2.465630081300813,1
No,No,Unemployed,No,1.0,37.0,1.0,0
No,No,Working Professional,No,1.0,1716.0,1.0,1
No,No,Unemployed,Yes,10.0,674.0,5.0,1
No,No,Unemployed,No,4.0,83.0,4.0,0
Yes,No,Unemployed,Yes,3.0,1487.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,No,3.0,770.0,3.0,1
No,No,Unemployed,No,3.5977173233270796,1007.0,2.465630081300813,1
No,No,Unemployed,Yes,3.0,248.0,1.5,1
No,No,Unemployed,Yes,2.0,221.0,2.0,0
No,No,Unemployed,Yes,5.0,115.0,5.0,0
No,No,Unemployed,Yes,4.0,41.0,2.0,1
No,No,Unemployed,No,9.0,404.0,3.0,0
No,No,Unemployed,Yes,4.0,1185.0,4.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,3.0,1826.0,3.0,1
No,No,Unemployed,Yes,2.0,130.0,2.0,0
No,No,Unemployed,No,2.0,271.0,1.0,0
No,No,Student,No,2.0,861.0,2.0,1
No,No,Unemployed,No,7.0,305.0,2.33,0
No,No,Unemployed,Yes,16.0,1804.0,2.67,1
No,No,Unemployed,No,4.0,950.0,4.0,1
No,No,Unemployed,Yes,7.0,212.0,3.5,0
No,No,Unemployed,No,3.5977173233270796,1463.0,2.465630081300813,1
No,No,Unemployed,No,2.0,334.0,1.0,0
No,No,Unemployed,Yes,5.0,1275.0,2.5,1
No,No,Unemployed,Yes,2.0,8.0,2.0,0
No,No,Unemployed,No,2.0,1651.0,2.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,8.0,1351.0,8.0,1
No,No,Unemployed,No,6.0,1252.0,3.0,1
No,No,Unemployed,Yes,1.0,1226.0,1.0,0
No,No,Unemployed,No,7.0,1591.0,7.0,0
No,No,Unemployed,Yes,2.0,428.0,2.0,0
No,No,Working Professional,No,2.0,28.0,2.0,1
No,No,Unemployed,No,4.0,1166.0,4.0,0
No,No,Unemployed,No,2.0,541.0,2.0,0
No,No,Unemployed,No,5.0,1220.0,2.5,1
No,No,Unemployed,No,3.0,452.0,3.0,0
Yes,No,Unemployed,No,2.0,124.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,4.0,455.0,2.0,0
No,No,Unemployed,Yes,3.0,1089.0,3.0,1
Yes,No,Unemployed,No,3.0,861.0,3.0,1
No,No,Unemployed,No,7.0,114.0,7.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,5.0,1837.0,2.5,1
No,No,Unemployed,Yes,4.0,1298.0,2.0,1
Yes,No,Unemployed,No,7.0,1316.0,2.33,0
Yes,No,Unemployed,Yes,2.0,385.0,2.0,0
No,No,Unemployed,No,11.0,1538.0,11.0,1
No,No,Unemployed,No,8.0,717.0,2.67,0
No,No,Unemployed,Yes,2.0,145.0,2.0,0
No,No,Unemployed,Yes,2.0,702.0,2.0,1
No,No,Unemployed,No,5.0,2090.0,5.0,0
No,No,Unemployed,Yes,2.0,288.0,2.0,0
No,No,Unemployed,No,3.0,148.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,5.0,1.0,5.0,0
No,No,Unemployed,No,6.0,71.0,6.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,8.0,68.0,8.0,0
No,No,Unemployed,No,7.0,1010.0,2.33,1
No,No,Working Professional,No,3.0,1371.0,3.0,1
No,No,Unemployed,Yes,5.0,110.0,5.0,0
No,No,Student,No,3.0,184.0,1.5,0
Yes,No,Unemployed,Yes,8.0,1485.0,4.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,437.0,2.0,0
No,No,Unemployed,No,4.0,65.0,4.0,0
No,No,Working Professional,Yes,1.0,790.0,1.0,1
No,No,Unemployed,No,5.0,100.0,2.5,1
No,No,Working Professional,No,3.0,176.0,3.0,1
No,No,Unemployed,Yes,2.0,1601.0,2.0,0
No,No,Unemployed,No,1.0,1076.0,1.0,1
Yes,No,Working Professional,No,0.0,0.0,0.0,1
Yes,No,Unemployed,No,3.0,108.0,3.0,0
No,No,Unemployed,No,4.0,455.0,4.0,0
No,No,Unemployed,No,7.0,945.0,3.5,1
No,No,Unemployed,No,3.0,217.0,3.0,0
No,No,Unemployed,Yes,9.0,145.0,4.5,0
Yes,No,Unemployed,No,8.0,346.0,8.0,1
No,No,Unemployed,Yes,4.0,901.0,4.0,1
No,No,Unemployed,Yes,3.0,1328.0,1.5,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,1286.0,4.0,1
No,No,Working Professional,Yes,10.0,1435.0,10.0,1
No,No,Working Professional,Yes,6.0,94.0,2.0,1
No,No,Unemployed,No,2.0,70.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,2.0,1087.0,2.0,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,10.0,1131.0,5.0,1
No,No,Unemployed,Yes,2.0,408.0,2.0,0
No,No,Unemployed,No,3.0,679.0,3.0,1
No,No,Unemployed,No,2.0,884.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,No,0.0,0.0,0.0,0
No,No,Working Professional,Yes,5.0,1019.0,5.0,1
No,No,Unemployed,No,7.0,1061.0,7.0,0
No,No,Working Professional,No,2.0,700.0,2.0,1
No,No,Unemployed,Yes,8.0,1495.0,4.0,1
No,No,Working Professional,No,2.0,869.0,1.0,1
No,No,Unemployed,No,10.0,1798.0,5.0,1
No,No,Unemployed,Yes,7.0,224.0,7.0,0
No,No,Unemployed,Yes,3.0,1394.0,3.0,1
No,No,Unemployed,No,4.0,526.0,4.0,0
No,No,Student,No,1.0,518.0,1.0,0
No,No,Unemployed,No,13.0,424.0,4.33,1
Yes,No,Unemployed,No,4.0,140.0,4.0,0
No,No,Unemployed,Yes,7.0,243.0,2.33,1
No,No,Unemployed,Yes,2.0,382.0,2.0,0
No,No,Unemployed,No,3.0,1599.0,1.5,0
Yes,No,Unemployed,No,6.0,148.0,3.0,0
Yes,No,Unemployed,Yes,3.0,254.0,3.0,0
Yes,No,Unemployed,Yes,6.0,950.0,6.0,0
No,No,Unemployed,Yes,3.0,322.0,3.0,0
No,No,Unemployed,No,6.0,1468.0,6.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,7.0,1471.0,3.5,1
No,No,Working Professional,Yes,7.0,1074.0,3.5,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,3.0,68.0,3.0,0
No,No,Unemployed,No,2.0,1139.0,2.0,1
No,No,Unemployed,No,5.0,79.0,2.5,1
No,No,Unemployed,No,4.0,1779.0,4.0,1
No,No,Unemployed,No,4.0,913.0,1.33,1
No,No,Unemployed,No,2.0,1236.0,2.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,138.0,1.0,0
No,No,Unemployed,No,5.0,1388.0,5.0,1
No,No,Unemployed,No,3.0,1147.0,1.5,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,No,3.0,99.0,3.0,1
Yes,No,Unemployed,No,1.0,303.0,1.0,0
No,No,Unemployed,No,3.0,87.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,2.0,179.0,2.0,0
No,No,Unemployed,No,3.0,1190.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,Yes,3.0,140.0,3.0,1
No,No,Unemployed,No,7.0,60.0,7.0,0
No,No,Unemployed,No,4.0,217.0,4.0,0
No,No,Working Professional,No,8.0,735.0,8.0,1
No,No,Unemployed,Yes,5.0,576.0,5.0,0
No,No,Unemployed,No,3.0,518.0,3.0,0
No,No,Unemployed,No,5.0,65.0,5.0,0
No,No,Unemployed,No,5.0,1169.0,5.0,1
Yes,No,Unemployed,No,7.0,876.0,3.5,0
No,No,Unemployed,No,2.0,673.0,2.0,1
No,No,Unemployed,No,7.0,1302.0,3.5,1
No,No,Unemployed,Yes,5.0,288.0,2.5,0
No,No,Student,No,8.0,598.0,4.0,0
No,No,Unemployed,Yes,2.0,212.0,2.0,0
No,No,Unemployed,Yes,2.0,186.0,2.0,0
No,No,Unemployed,No,3.0,845.0,3.0,1
No,No,Unemployed,No,4.0,117.0,4.0,1
No,No,Unemployed,No,4.0,152.0,4.0,0
No,No,Unemployed,Yes,5.0,36.0,5.0,1
No,No,Unemployed,Yes,251.0,49.0,1.48,1
No,No,Unemployed,No,11.0,101.0,5.5,0
No,No,Unemployed,Yes,5.0,1399.0,1.67,0
No,No,Unemployed,No,5.0,470.0,5.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,3.0,558.0,3.0,1
No,No,Unemployed,Yes,3.0,452.0,3.0,0
No,No,Unemployed,Yes,4.0,1847.0,2.0,1
No,No,Unemployed,Yes,2.0,181.0,2.0,0
No,No,Unemployed,Yes,10.0,7.0,3.33,0
No,No,Unemployed,Yes,2.0,1509.0,2.0,1
No,No,Unemployed,Yes,2.0,412.0,2.0,0
No,No,Unemployed,Yes,2.0,68.0,2.0,0
No,No,Unemployed,No,2.0,343.0,2.0,0
No,No,Unemployed,No,6.0,1292.0,6.0,0
Yes,No,Working Professional,Yes,4.0,1581.0,4.0,1
No,No,Working Professional,Yes,2.0,1736.0,2.0,0
No,No,Unemployed,No,3.0,1451.0,3.0,1
No,No,Unemployed,No,3.0,1286.0,1.5,0
No,No,Unemployed,Yes,7.0,389.0,7.0,0
Yes,No,Unemployed,No,2.0,187.0,2.0,0
No,No,Unemployed,Yes,5.0,88.0,1.67,0
No,No,Unemployed,No,3.5977173233270796,2081.0,2.465630081300813,1
No,No,Unemployed,No,3.0,352.0,3.0,0
No,No,Unemployed,No,3.0,1637.0,3.0,1
No,No,Unemployed,No,3.5977173233270796,1835.0,2.465630081300813,1
No,No,Working Professional,Yes,2.0,1522.0,2.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
Yes,No,Unemployed,Yes,2.0,146.0,2.0,0
No,No,Student,No,0.0,0.0,0.0,0
No,No,Unemployed,No,5.0,1694.0,5.0,1
Yes,No,Unemployed,No,3.0,718.0,3.0,0
No,No,Unemployed,No,2.0,45.0,2.0,0
No,No,Unemployed,Yes,2.0,440.0,2.0,0
No,No,Unemployed,No,1.0,50.0,1.0,0
No,No,Unemployed,Yes,6.0,973.0,6.0,1
No,No,Unemployed,Yes,4.0,95.0,4.0,0
No,No,Unemployed,Yes,3.0,286.0,3.0,0
No,No,Unemployed,No,2.0,1014.0,2.0,0
No,No,Unemployed,No,4.0,229.0,1.33,0
No,No,Unemployed,Yes,4.0,295.0,2.0,1
No,No,Unemployed,Yes,3.0,19.0,3.0,0
Yes,No,Unemployed,No,3.5977173233270796,1216.0,2.465630081300813,1
No,No,Unemployed,No,2.0,73.0,2.0,0
No,No,Unemployed,No,5.0,228.0,2.5,0
No,No,Unemployed,Yes,3.0,812.0,3.0,1
No,No,Unemployed,Yes,2.0,128.0,2.0,0
No,No,Unemployed,No,2.0,871.0,2.0,0
No,No,Unemployed,No,3.0,203.0,3.0,0
