manufacture_year,mileage,price,length_mm,engine_cc,aspiration,wheel_base_mm,width_mm,direct_injection,seat_capacity,peak_power_hp,fuel_type,steering_type,assembled,height_mm,peak_torque_nm,doors,brand,colour,model,transmission,pred_price,update_analytics
2010.0,115000.0,21800.0,4530.0,1998.0,Aspirated,2650.0,1775.0,Multi-Point Injected,5.0,156.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1460.0,194.0,4.0,Kia,Silver,Forte,Automatic,32886.49339020364,0.0
2015.0,75000.0,48800.0,3955.0,1497.0,Aspirated,2530.0,1694.0,Multi-Point Injected,5.0,120.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1524.0,145.0,5.0,Honda,Grey,Jazz,Automatic,51297.88229922837,0.0
2015.0,69238.0,37800.0,4150.0,1495.0,Aspirated,2655.0,1600.0,Multi-Point Injected,7.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1695.0,136.0,5.0,Toyota,Silver,Avanza,Automatic,42972.15322243389,0.0
2009.0,105000.0,14800.0,3575.0,989.0,Aspirated,2390.0,1475.0,Multi-Point Injected,5.0,61.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1530.0,90.0,5.0,Perodua,Black,Viva,Automatic,14383.356024438875,0.0
2013.0,85000.0,32800.0,4792.0,1598.0,Twin-scroll turbo,2817.0,2068.0,Direct Injection,5.0,158.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1456.0,240.0,4.0,Peugeot,Silver,508,Automatic,35625.50069055963,1.0
2013.0,70000.0,139800.0,4865.0,2362.0,Aspirated,2950.0,1840.0,Multi-Point Injected,7.0,170.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1900.0,224.0,5.0,Toyota,Black,Vellfire,Automatic,121712.27790157312,1.0
2013.0,140000.0,26500.0,4592.0,1561.0,Turbocharged,2730.0,1809.0,Multi-Point Injected,7.0,140.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1691.0,205.0,5.0,Proton,Brown,Exora,Automatic,30560.752748398318,0.0
2011.0,100000.0,33800.0,4410.0,1998.0,Aspirated,2640.0,1820.0,Multi-Point Injected,5.0,166.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1655.0,197.0,5.0,Hyundai,Silver,Tucson,Automatic,38153.952877187665,1.0
2013.0,70000.0,35800.0,4530.0,1591.0,Aspirated,2700.0,1775.0,Multi-Point Injected,5.0,131.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1445.0,157.0,4.0,Hyundai,Purple,Elantra,Automatic,39112.77499463168,1.0
2017.0,55000.0,42500.0,4270.0,1495.0,Aspirated,2750.0,1695.0,Multi-Point Injected,7.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1620.0,136.0,5.0,Perodua,Silver,Alza,Automatic,41393.03112944686,0.0
2012.0,85000.0,41800.0,5295.0,2477.0,Turbo intercooled,3000.0,1800.0,Direct Injection,5.0,136.0,Diesel,Rack and Pinion,Official Import,1779.0,314.0,4.0,Mitsubishi,White,Triton,Manual,44341.797015372824,0.0
2013.0,15000.0,178000.0,5252.0,1999.0,Turbocharged,3157.0,1899.0,Direct Injection,5.0,241.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1457.0,340.0,4.0,Jaguar, -,XJ,Automatic,156648.7616446593,0.0
2008.0,135000.0,46800.0,4845.0,2997.0,Aspirated,2900.0,1830.0,Multi-Point Injected,7.0,250.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1790.0,309.0,5.0,Honda,White,Elysion,Automatic,52085.89122891735,1.0
2012.0,95000.0,24800.0,3995.0,1497.0,Aspirated,2550.0,1695.0,Multi-Point Injected,5.0,73.0,Hybrid,Rack and Pinion,Official Import,1455.0,111.0,5.0,Toyota,White,Prius C,Automatic,25183.878992985025,1.0
2015.0,75000.0,121800.0,4907.0,1997.0,Twin-scroll turbo,2968.0,1860.0,Direct Injection,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1462.0,270.0,4.0,BMW,Black,520i,Automatic,120475.00249369211,0.0
2015.0,85000.0,34800.0,3970.0,1598.0,Aspirated,2456.0,1682.0,Multi-Point Injected,5.0,105.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1453.0,153.0,5.0,Volkswagen,Grey,Polo,Automatic,31382.981904291395,0.0
2011.0,105000.0,27800.0,4205.0,1495.0,Aspirated,2750.0,1695.0,Multi-Point Injected,7.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1620.0,136.0,5.0,Perodua,White,Alza,Automatic,30671.37600215708,0.0
2012.0,85000.0,66888.0,4500.0,2179.0,Turbo intercooled,2659.0,1910.0,Direct Injection,5.0,190.0,Diesel,Rack and Pinion,Official Import,1740.0,420.0,5.0,Land Rover,White,Freelander 2,Automatic,101167.2609983036,0.0
2015.0,70000.0,35999.0,4270.0,1495.0,Aspirated,2750.0,1695.0,Multi-Point Injected,7.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1620.0,136.0,5.0,Perodua,Purple,Alza,Automatic,37117.91636391472,1.0
2016.0,30000.0,236000.0,4950.0,1969.0,Turbo supercharged intercooled,2984.0,1958.0,Direct Injection,7.0,320.0,Hybrid,Rack and Pinion,Official Import,1776.0,400.0,5.0,Volvo,Black,XC90,Automatic,275278.50643000257,0.0
2011.0,105000.0,26800.0,4592.0,1561.0,Turbocharged,2730.0,1809.0,Multi-Point Injected,7.0,140.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1691.0,205.0,5.0,Proton,White,Exora,Automatic,29435.17376145381,0.0
2013.0,65000.0,121800.0,4624.0,1997.0,Twin-scroll turbo,2810.0,1811.0,Direct Injection,5.0,245.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1429.0,350.0,4.0,BMW,Red,328i,Automatic,115521.55307351258,1.0
2017.0,75000.0,112999.0,4633.0,1998.0,Twin-scroll turbo,2810.0,1811.0,Direct Injection,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1429.0,290.0,4.0,BMW,Blue,320i,Automatic,127804.5021819772,1.0
2005.0,170000.0,26800.0,4532.0,1796.0,Supercharged intercooled,2715.0,1728.0,Multi-Point Injected,5.0,261.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1426.0,260.0,4.0,Mercedes-Benz,Black,C230K,Automatic,74060.27896344222,0.0
2018.0,55000.0,43800.0,4425.0,1498.0,Aspirated,2600.0,1695.0,Multi-Point Injected,5.0,102.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1500.0,139.0,4.0,Nissan,Green,Almera,Automatic,38317.66118298933,0.0
1996.0,105000.0,11500.0,3705.0,1998.0,Aspirated,2200.0,1695.0,Multi-Point Injected,4.0,135.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1655.0,181.0,3.0,Toyota,Orange,RAV4,Automatic,45644.59779475656,0.0
2006.0,155000.0,40800.0,4765.0,2354.0,Aspirated,2830.0,1800.0,Multi-Point Injected,7.0,160.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1550.0,218.0,5.0,Honda,Grey,Odyssey,Automatic,43759.87719118923,1.0
2015.0,100000.0,62800.0,4690.0,2199.0,Turbocharged,2700.0,1880.0,Direct Injection,7.0,197.0,Diesel,Rack and Pinion,Locally Built,1680.0,436.0,5.0,Hyundai,White,Santa Fe,Automatic,74154.46941563128,0.0
2017.0,80000.0,62999.0,4453.0,1497.0,Aspirated,2662.0,1735.0,Multi-Point Injected,7.0,120.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1666.0,145.0,5.0,Honda,Silver,BR-V,Automatic,61931.07557814083,1.0
2014.0,85000.0,65999.0,4278.0,1197.0,Turbo supercharged intercooled,2537.0,1808.0,Direct Injection,4.0,105.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1486.0,175.0,2.0,Volkswagen,Red,Beetle,Automatic,68062.34827629819,0.0
2005.0,105000.0,7800.0,4270.0,1468.0,Aspirated,2500.0,1680.0,Multi-Point Injected,5.0,90.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1385.0,126.0,5.0,Proton,Red,Wira,Manual,9384.850385508933,0.0
2020.0,5000.0,235000.0,4425.0,1969.0,Turbo intercooled,2702.0,1863.0,Direct Injection,5.0,252.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1652.0,350.0,5.0,Volvo,White,XC40,Automatic,212855.23519944586,0.0
2005.0,130000.0,4500.0,4525.0,1594.0,Aspirated,2560.0,1720.0,Multi-Point Injected,5.0,107.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1415.0,143.0,4.0,Kia,Red,Spectra,Automatic,20453.785791135913,1.0
2014.0,80000.0,118800.0,4830.0,2356.0,Aspirated,2900.0,1820.0,Multi-Point Injected,7.0,175.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1695.0,225.0,5.0,Honda,Black,Odyssey,Automatic,96336.92284056965,0.0
2020.0,25000.0,96000.0,4519.0,1799.0,Turbocharged,2670.0,1831.0,Direct Injection,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1694.0,300.0,5.0,Proton,Brown,X70,Automatic,113123.749372103,0.0
2014.0,90000.0,68999.0,4715.0,1998.0,Aspirated,2850.0,1770.0,Direct Injection,8.0,151.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1835.0,190.0,5.0,Mazda,White,Biante,Automatic,56136.61330806115,0.0
2014.0,65000.0,119800.0,4830.0,2356.0,Aspirated,2900.0,1820.0,Multi-Point Injected,7.0,175.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1695.0,225.0,5.0,Honda,White,Odyssey,Automatic,100754.75663562902,0.0
2013.0,53000.0,328000.0,4999.0,5000.0,Supercharged intercooled,2922.0,2220.0,Direct Injection,5.0,510.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1855.0,625.0,5.0,Land Rover,Black,Range Rover,Automatic,317488.2342983667,0.0
2011.0,95000.0,38888.0,4520.0,1998.0,Aspirated,2695.0,1695.0,Multi-Point Injected,7.0,131.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1825.0,172.0,5.0,Nissan,Gold,Serena,Automatic,35339.95406036538,0.0
2012.0,90000.0,38900.0,4350.0,1998.0,Aspirated,2630.0,1800.0,Multi-Point Injected,5.0,166.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1695.0,197.0,5.0,Kia,Silver,Sportage,Automatic,39392.412313609704,0.0
2015.0,80000.0,53000.0,4410.0,1497.0,Aspirated,2550.0,1700.0,Multi-Point Injected,5.0,109.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1475.0,141.0,4.0,Toyota,Silver,Vios,Automatic,42660.91212251586,1.0
2000.0,205000.0,13800.0,4520.0,1948.0,Turbo intercooled,2560.0,1720.0,Multi-Point Injected,5.0,165.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1420.0,240.0,5.0,Volvo,Silver,V40,Automatic,15997.805417687137,0.0
2018.0,75000.0,126800.0,4584.0,1498.0,Turbocharged,2660.0,1855.0,Direct Injection,5.0,193.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1679.0,243.0,5.0,Honda,Silver,CR-V,Automatic,120589.07523287411,1.0
2012.0,115000.0,183000.0,4950.0,4608.0,Aspirated,2850.0,1970.0,Multi-Point Injected,8.0,318.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1870.0,460.0,5.0,Toyota,White,Land Cruiser,Automatic,166613.9483460752,0.0
2016.0,150000.0,129800.0,4830.0,2356.0,Aspirated,2900.0,1820.0,Multi-Point Injected,7.0,175.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1695.0,225.0,5.0,Honda,Silver,Odyssey,Automatic,110081.36787923363,0.0
2016.0,45000.0,159800.0,4633.0,1998.0,Twin-scroll turbo,2810.0,1811.0,Direct Injection,5.0,252.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1429.0,350.0,4.0,BMW,Grey,330i,Automatic,194426.26025805328,0.0
2010.0,135000.0,36777.0,4580.0,2497.0,Aspirated,2760.0,1817.0,Multi-Point Injected,4.0,193.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1395.0,230.0,2.0,BMW,Silver,323i,Automatic,90550.49287317427,1.0
2011.0,105000.0,43800.0,4320.0,1798.0,Aspirated,2600.0,1765.0,Multi-Point Injected,5.0,99.0,Hybrid,Rack and Pinion,Official Import,1430.0,142.0,5.0,Lexus,Black,CT200h,Automatic,44107.47450918381,1.0
2011.0,110000.0,51888.0,4570.0,1799.0,Aspirated,2740.0,1695.0,Multi-Point Injected,7.0,140.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1545.0,174.0,5.0,Honda,Silver,Stream,Automatic,45691.52722643202,0.0
2012.0,83123.0,43800.0,4856.0,1998.0,Aspirated,2795.0,1835.0,Multi-Point Injected,5.0,165.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1455.0,198.0,4.0,Kia,White,Optima K5,Automatic,47141.77349806667,0.0
2020.0,15000.0,255000.0,4708.0,1998.0,Twin-scroll turbo,2864.0,1891.0,Direct Injection,5.0,252.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1676.0,350.0,5.0,BMW,Blue,X3,Automatic,267277.0754713905,0.0
2014.0,70000.0,118800.0,4795.0,2362.0,Aspirated,2950.0,1800.0,Multi-Point Injected,7.0,170.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1750.0,224.0,5.0,Toyota,Brown,Previa,Automatic,105057.71941455324,1.0
2007.0,95000.0,11500.0,3490.0,989.0,Aspirated,2360.0,1490.0,Multi-Point Injected,5.0,55.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1430.0,88.0,5.0,Perodua,Blue,Kelisa,Manual,11749.943663499544,0.0
2015.0,75000.0,59800.0,4450.0,1995.0,Aspirated,2635.0,1780.0,Multi-Point Injected,5.0,150.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1615.0,196.0,5.0,Subaru,White,XV,Automatic,54297.14187338755,0.0
2009.0,115000.0,29800.0,4540.0,1794.0,Aspirated,2600.0,1760.0,Multi-Point Injected,5.0,132.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1465.0,170.0,4.0,Toyota,Black,Corolla Altis,Automatic,30735.60607684064,0.0
2010.0,115000.0,16800.0,3905.0,1597.0,Aspirated,2440.0,1710.0,Multi-Point Injected,5.0,111.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1420.0,148.0,3.0,Proton,Black,Satria,Manual,16652.899742485108,0.0
2014.0,60000.0,43888.0,4950.0,1997.0,Aspirated,2800.0,1845.0,Multi-Point Injected,5.0,156.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1475.0,189.0,4.0,Proton,Grey,Perdana,Automatic,45884.66973267664,0.0
2015.0,80000.0,53800.0,4320.0,1496.0,Aspirated,2570.0,1695.0,Direct Injection,5.0,116.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1470.0,148.0,4.0,Mazda,Red, 2,Automatic,56586.611980132606,1.0
2011.0,95000.0,38900.0,5075.0,3200.0,Turbo intercooled,3000.0,1800.0,Direct Injection,5.0,160.0,Diesel,Rack and Pinion,Official Import,1795.0,343.0,4.0,Mitsubishi,Black,Triton,Automatic,43852.42642955829,0.0
2016.0,60000.0,55800.0,3955.0,1497.0,Aspirated,2530.0,1694.0,Multi-Point Injected,5.0,120.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1524.0,145.0,5.0,Honda,Grey,Jazz,Automatic,55685.43700348403,0.0
2009.0,70000.0,59800.0,4590.0,1797.0,Aspirated,2750.0,1695.0,Multi-Point Injected,7.0,143.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1590.0,173.0,5.0,Toyota,White,Wish,Automatic,56891.86579526574,0.0
1999.0,205000.0,11800.0,4601.090693538827,1998.0,Aspirated,2735.0,1811.421210305572,Multi-Point Injected,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1672.2348711803477,181.0,5.0,Toyota,White,Nadia,Automatic,17026.53254015919,1.0
2017.0,80000.0,73800.0,4294.0,1799.0,Aspirated,2610.0,1772.0,Multi-Point Injected,5.0,143.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1605.0,172.0,5.0,Honda,Silver,HR-V,Automatic,74114.4409080244,1.0
2011.0,105000.0,66800.0,3723.0,1598.0,Aspirated,2467.0,1683.0,Multi-Point Injected,4.0,120.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1430.0,160.0,3.0,MINI,Orange,Cooper,Automatic,37420.92946083037,0.0
2018.0,50000.0,68800.0,4453.0,1497.0,Aspirated,2662.0,1735.0,Multi-Point Injected,7.0,120.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1666.0,145.0,5.0,Honda,Silver,BR-V,Automatic,64458.1674271312,1.0
2013.0,60000.0,63000.0,4278.0,1197.0,Turbo supercharged intercooled,2537.0,1808.0,Direct Injection,4.0,105.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1486.0,175.0,2.0,Volkswagen,Silver,Beetle,Automatic,66993.28553191335,0.0
2016.0,50000.0,203800.0,4935.0,2493.0,Aspirated,3000.0,1850.0,Multi-Point Injected,7.0,182.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1880.0,235.0,5.0,Toyota,Black,Vellfire,Automatic,179921.49453887893,0.0
2005.0,70000.0,68800.0,4310.0,3498.0,Aspirated,2650.0,1815.0,Multi-Point Injected,2.0,381.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1315.0,363.0,2.0,Nissan,Silver,Fairlady Z,Automatic,145033.34449303677,0.0
2012.0,85000.0,35999.0,4570.0,1998.0,Aspirated,2635.0,1760.0,Multi-Point Injected,5.0,150.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1490.0,197.0,4.0,Proton,Black,Inspira,Automatic,32164.693089713877,1.0
2011.0,85000.0,26990.0,4205.0,1495.0,Aspirated,2750.0,1695.0,Multi-Point Injected,7.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1620.0,136.0,5.0,Perodua,White,Alza,Automatic,32145.254532500858,0.0
2012.0,80000.0,82888.0,4287.0,1598.0,Twin-scroll turbo,2612.0,2107.0,Direct Injection,4.0,155.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1359.0,240.0,2.0,Peugeot,Grey,RCZ,Automatic,61246.328126602646,1.0
2014.0,70000.0,59700.0,4580.0,1999.0,Aspirated,2640.0,1755.0,Multi-Point Injected,5.0,147.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1470.0,182.0,4.0,Mazda,White, 3,Automatic,43350.64854256912,1.0
2016.0,90800.0,62800.0,4235.0,1496.0,Aspirated,2750.0,1695.0,Multi-Point Injected,7.0,107.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1695.0,143.0,5.0,Toyota,Orange,Sienta,Automatic,57933.626293936606,0.0
2011.0,80000.0,105900.0,4940.0,3498.0,Aspirated,2874.0,1881.0,Direct Injection,4.0,306.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1416.0,370.0,4.0,Mercedes-Benz,White,CLS350,Automatic,140588.856929818,1.0
2011.0,100000.0,30800.0,4300.0,1497.0,Aspirated,2550.0,1700.0,Multi-Point Injected,5.0,109.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1460.0,141.0,4.0,Toyota,White,Vios,Manual,30393.419246136797,0.0
2016.0,65000.0,41800.0,4270.0,1495.0,Aspirated,2750.0,1695.0,Multi-Point Injected,7.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1620.0,136.0,5.0,Perodua,Silver,Alza,Automatic,39648.63660185693,1.0
2012.0,85000.0,27800.0,4592.0,1597.0,Aspirated,2730.0,1809.0,Multi-Point Injected,7.0,126.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1691.0,150.0,5.0,Proton,Silver,Exora,Automatic,28971.52328806254,0.0
2015.0,95000.0,72800.0,5125.0,2497.0,Turbocharged,3200.0,1920.0,Direct Injection,11.0,170.0,Diesel,Rack and Pinion,Official Import,1925.0,392.0,5.0,Hyundai,White,Grand Starex,Automatic,69582.43280252404,0.0
2007.0,110000.0,22999.0,3925.0,1598.0,Aspirated,2465.0,1671.0,Multi-Point Injected,5.0,105.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1499.0,153.0,5.0,Volkswagen,Red,Polo,Automatic,24902.8618792142,0.0
2019.0,50000.0,293800.0,4936.0,1998.0,Twin-scroll turbo,2975.0,1868.0,Direct Injection,5.0,252.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1479.0,350.0,4.0,BMW,White,530i,Automatic,241650.14508967134,1.0
2016.0,100000.0,123800.0,4633.0,1998.0,Twin-scroll turbo,2810.0,1811.0,Direct Injection,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1429.0,290.0,4.0,BMW,Grey,320i,Automatic,127804.5021819772,0.0
2012.0,135000.0,15800.0,3575.0,989.0,Aspirated,2390.0,1475.0,Multi-Point Injected,5.0,61.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1530.0,90.0,5.0,Perodua,Silver,Viva,Automatic,13959.270871044002,0.0
1999.0,60000.0,8800.0,4520.0,1948.0,Turbo intercooled,2560.0,1720.0,Multi-Point Injected,5.0,163.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1420.0,240.0,4.0,Volvo,Blue,S40,Automatic,27877.61843537369,0.0
2011.0,150000.0,28800.0,4420.0,1798.0,Aspirated,2600.0,1690.0,Multi-Point Injected,7.0,126.0,Petrol - Unleaded (ULP),Electronic Power Steering,Locally Built,1590.0,174.0,5.0,Nissan,Blue,Grand Livina,Automatic,31981.4332347604,0.0
