manufacture_year,mileage,price,length_mm,engine_cc,aspiration,wheel_base_mm,width_mm,direct_injection,seat_capacity,peak_power_hp,fuel_type,steering_type,assembled,height_mm,peak_torque_nm,doors,brand,colour,model,transmission
2015.0,85000.0,83800.0,4342.0,1499.0,Turbocharged,2670.0,1800.0,Direct Injection,5.0,136.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1586.0,220.0,5.0,BMW, -,218i,Automatic
2000.0,205000.0,13800.0,4520.0,1948.0,Turbo intercooled,2560.0,1720.0,Multi-Point Injected,5.0,165.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1420.0,240.0,5.0,Volvo,Silver,V40,Automatic
2015.0,85000.0,89800.0,4633.0,1499.0,Turbo intercooled,2810.0,1811.0,Direct Injection,5.0,136.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1429.0,220.0,4.0,BMW,Bronze,318i,Automatic
2018.0,20000.0,89900.0,4580.0,1998.0,Aspirated,2700.0,1795.0,Direct Injection,5.0,165.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1450.0,210.0,4.0,Mazda,Grey, 3,Automatic
2015.0,95000.0,69800.0,4555.0,2488.0,Aspirated,2700.0,1840.0,Direct Injection,5.0,185.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1670.0,250.0,5.0,Mazda,Grey,CX-5,Automatic
2005.0,130000.0,5500.0,4200.0,1495.0,Aspirated,2440.0,1670.0,Multi-Point Injected,5.0,91.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1395.0,133.0,4.0,Hyundai,Gold,Accent,Automatic
2004.0,95000.0,9900.0,3450.0,989.0,Aspirated,2360.0,1480.0,Multi-Point Injected,5.0,55.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1640.0,88.0,5.0,Perodua, -,Kenari,Automatic
2013.0,65000.0,118800.0,4292.0,1991.0,Turbo intercooled,2699.0,1780.0,Direct Injection,5.0,211.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1438.0,350.0,5.0,Mercedes-Benz,Silver,A250,Automatic
2010.0,85000.0,89999.0,4865.0,2362.0,Aspirated,2950.0,1840.0,Multi-Point Injected,7.0,170.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1900.0,224.0,5.0,Toyota,White,Vellfire,Automatic
2020.0,10000.0,258888.0,4761.0,1969.0,Turbo supercharged intercooled,2872.0,1850.0,Direct Injection,5.0,324.0,Hybrid,Rack and Pinion,Locally Built,1431.0,640.0,4.0,Volvo,Black,S60,Automatic
2015.0,95000.0,74800.0,4870.0,2356.0,Aspirated,2775.0,1850.0,Multi-Point Injected,5.0,175.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1465.0,225.0,4.0,Honda,White,Accord,Automatic
2010.0,175000.0,46900.0,4215.0,1497.0,Aspirated,2740.0,1700.0,Multi-Point Injected,7.0,118.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1735.0,146.0,5.0,Honda,Black,Freed,Automatic
2013.0,70000.0,30800.0,4536.0,1561.0,Turbocharged,2650.0,1786.0,Multi-Point Injected,5.0,140.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1524.0,205.0,5.0,Proton,Blue,Suprima S,Automatic
2004.0,60000.0,31999.0,4730.0,2994.0,Aspirated,2715.0,1845.0,Multi-Point Injected,5.0,299.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1680.0,304.0,5.0,Toyota,Silver,Harrier,Automatic
2011.0,95000.0,41800.0,4990.0,2953.0,Aspirated,2715.0,1690.0,Direct Injection,2.0,105.0,Diesel,Rack and Pinion,Locally Built,1990.0,209.0,3.0,Nissan,White,Urvan,Manual
2011.0,90000.0,43800.0,5230.0,2488.0,Turbo intercooled,3200.0,1850.0,Direct Injection,5.0,144.0,Diesel,Rack and Pinion,Locally Built,1780.0,356.0,4.0,Nissan,Silver,Navara,Automatic
2010.0,115000.0,42800.0,4699.0,2261.0,Turbo intercooled,2750.0,1872.0,Direct Injection,5.0,238.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1645.0,350.0,5.0,Mazda,White,CX-7,Automatic
2006.0,155000.0,40800.0,4765.0,2354.0,Aspirated,2830.0,1800.0,Multi-Point Injected,7.0,160.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1550.0,218.0,5.0,Honda,Grey,Odyssey,Automatic
2010.0,90000.0,92800.0,4865.0,2362.0,Aspirated,2950.0,1840.0,Multi-Point Injected,7.0,170.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1900.0,224.0,5.0,Toyota,Black,Vellfire,Automatic
2014.0,25000.0,338000.0,4950.0,4461.0,Twin Turbo intercooled,2850.0,1970.0,Direct Injection,8.0,265.0,Diesel,Rack and Pinion,Parallel Import,1880.0,650.0,5.0,Toyota,Black,Land Cruiser,Automatic
2009.0,135000.0,12800.0,3575.0,989.0,Aspirated,2390.0,1475.0,Multi-Point Injected,5.0,61.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1530.0,90.0,5.0,Perodua,Silver,Viva,Automatic
2006.0,120000.0,8500.0,4615.0,1999.0,Aspirated,2635.0,1730.0,Multi-Point Injected,5.0,150.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1400.0,176.0,4.0,Proton,Black,Perdana,Automatic
2016.0,90000.0,66800.0,4610.0,1995.0,Aspirated,2640.0,1795.0,Multi-Point Injected,5.0,150.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1735.0,198.0,5.0,Subaru,Grey,Forester,Automatic
2018.0,60000.0,295000.0,4923.0,1991.0,Turbocharged,2939.0,1852.0,Direct Injection,5.0,245.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1468.0,370.0,4.0,Mercedes-Benz,Grey,E300,Automatic
2015.0,65000.0,63888.0,5359.0,2198.0,Turbo intercooled,3220.0,1850.0,Direct Injection,5.0,150.0,Diesel,Rack and Pinion,Official Import,1815.0,375.0,4.0,Ford,White,Ranger,Automatic
2015.0,80000.0,99800.0,4633.0,1998.0,Twin-scroll turbo,2810.0,1811.0,Direct Injection,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1429.0,290.0,4.0,BMW,White,320i,Automatic
2012.0,95000.0,17800.0,4682.0,1997.0,Aspirated,2710.0,1815.0,Multi-Point Injected,5.0,145.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1525.0,200.0,4.0,Peugeot,Grey,408,Automatic
2013.0,80000.0,45500.0,4450.0,1995.0,Aspirated,2635.0,1780.0,Multi-Point Injected,5.0,150.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1615.0,196.0,5.0,Subaru,Silver,XV,Automatic
2008.0,135000.0,20800.0,4410.0,1495.0,Aspirated,2685.0,1695.0,Multi-Point Injected,7.0,109.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1745.0,141.0,5.0,Toyota,Black,Rush,Automatic
2016.0,75000.0,92800.0,4342.0,1499.0,Turbocharged,2670.0,1800.0,Direct Injection,5.0,136.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1586.0,220.0,5.0,BMW,White,218i,Automatic
2004.0,125000.0,16800.0,4825.0,1998.0,Aspirated,2720.0,1810.0,Multi-Point Injected,5.0,196.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1490.0,190.0,4.0,Toyota,Silver,Camry,Automatic
2016.0,65000.0,22900.0,3920.0,1332.0,Aspirated,2555.0,1722.0,Multi-Point Injected,5.0,95.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1554.0,120.0,5.0,Proton,Silver,Iriz,Automatic
2004.0,175000.0,8800.0,3490.0,847.0,Aspirated,2360.0,1490.0,Multi-Point Injected,5.0,50.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1425.0,74.0,5.0,Perodua,Silver,Kelisa,Manual
2012.0,125000.0,16800.0,4477.0,1597.0,Aspirated,2600.0,1725.0,Multi-Point Injected,5.0,111.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1438.0,148.0,4.0,Proton,Brown,Persona,Automatic
2016.0,65000.0,99800.0,4556.0,1998.0,Twin-scroll turbo,2780.0,1800.0,Direct Injection,7.0,192.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1641.0,280.0,5.0,BMW,Blue,220i,Automatic
2015.0,115000.0,26800.0,3685.0,1495.0,Aspirated,2440.0,1665.0,Multi-Point Injected,5.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1570.0,136.0,5.0,Perodua,Orange,Myvi,Manual
2013.0,125000.0,52888.0,5100.0,2477.0,Turbo intercooled,3000.0,1800.0,Direct Injection,5.0,136.0,Diesel,Rack and Pinion,Official Import,1795.0,314.0,4.0,Mitsubishi,Silver,Triton,Automatic
2000.0,205000.0,13800.0,4520.0,1948.0,Turbo intercooled,2560.0,1720.0,Multi-Point Injected,5.0,165.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1420.0,240.0,5.0,Volvo,Silver,V40,Automatic
2015.0,115000.0,50000.0,3955.0,1497.0,Aspirated,2530.0,1694.0,Multi-Point Injected,5.0,120.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1524.0,145.0,5.0,Honda,Grey,Jazz,Automatic
1998.0,225000.0,15800.0,4575.0,2994.0,Aspirated,2619.0,1816.0,Multi-Point Injected,5.0,220.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1669.0,304.0,5.0,Toyota,Black,Harrier,Automatic
2010.0,80000.0,158800.0,4970.0,3605.0,Aspirated,2920.0,1931.0,Direct Injection,4.0,299.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1418.0,400.0,5.0,Porsche,Black,Panamera,Automatic
2012.0,95000.0,37800.0,4215.0,1497.0,Aspirated,2740.0,1700.0,Multi-Point Injected,7.0,118.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1735.0,146.0,5.0,Honda,Black,Freed,Automatic
2012.0,110000.0,53800.0,5359.0,2198.0,Turbo intercooled,3220.0,1850.0,Direct Injection,5.0,150.0,Diesel,Rack and Pinion,Official Import,1815.0,375.0,4.0,Ford,Grey,Ranger,Automatic
2012.0,90000.0,138500.0,4670.0,3956.0,Aspirated,2690.0,1905.0,Multi-Point Injected,5.0,272.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1830.0,380.0,5.0,Toyota,White,FJ Cruiser,Automatic
2012.0,85000.0,42800.0,4080.0,1496.0,Aspirated,2435.0,1740.0,Multi-Point Injected,4.0,124.0,Hybrid,Rack and Pinion,Official Import,1395.0,174.0,3.0,Honda,Black,CR-Z,Manual
2007.0,95000.0,35999.0,4730.0,2499.0,Aspirated,2850.0,1775.0,Direct Injection,5.0,215.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1435.0,260.0,4.0,Toyota,White,Mark X,Automatic
2018.0,30000.0,228000.0,4599.0,1999.0,Twin-scroll turbo,2741.0,2069.0,Direct Injection,5.0,241.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1724.0,340.0,5.0,Land Rover,Black,Discovery Sport,Automatic
2016.0,65000.0,147800.0,4686.0,1991.0,Turbocharged,2840.0,1810.0,Direct Injection,5.0,211.0,Hybrid,Rack and Pinion,Locally Built,1442.0,350.0,4.0,Mercedes-Benz,White,C350 e,Automatic
2017.0,60000.0,26800.0,3640.0,998.0,Aspirated,2455.0,1620.0,Multi-Point Injected,5.0,68.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1510.0,91.0,5.0,Perodua,Silver,Axia,Automatic
2008.0,125000.0,41800.0,4560.0,1998.0,Aspirated,2750.0,1490.0,Multi-Point Injected,7.0,150.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1600.0,192.0,5.0,Toyota,Silver,Wish,Automatic
2014.0,35000.0,128000.0,4703.0,1991.0,Turbo intercooled,2760.0,1786.0,Direct Injection,4.0,211.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1397.0,350.0,2.0,Mercedes-Benz,White,E250,Automatic
2010.0,100000.0,29800.0,4205.0,1495.0,Aspirated,2750.0,1695.0,Multi-Point Injected,7.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1620.0,136.0,5.0,Perodua,White,Alza,Automatic
2013.0,85000.0,35800.0,4570.0,1998.0,Aspirated,2635.0,1760.0,Multi-Point Injected,5.0,150.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1490.0,197.0,4.0,Proton,White,Inspira,Automatic
2015.0,35000.0,21900.0,3640.0,998.0,Aspirated,2455.0,1620.0,Multi-Point Injected,5.0,67.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1510.0,90.0,5.0,Perodua,White,Axia,Automatic
2004.0,165000.0,7800.0,4270.0,1299.0,Aspirated,2500.0,1680.0,Multi-Point Injected,5.0,75.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1385.0,108.0,5.0,Proton,Grey,Wira,Manual
2011.0,110000.0,15900.0,3575.0,989.0,Aspirated,2390.0,1475.0,Multi-Point Injected,5.0,61.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1530.0,90.0,5.0,Perodua,White,Viva,Automatic
2010.0,80000.0,88500.0,4865.0,2362.0,Aspirated,2950.0,1840.0,Multi-Point Injected,7.0,170.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1900.0,224.0,5.0,Toyota,White,Vellfire,Automatic
2005.0,135000.0,51800.0,4765.0,2354.0,Aspirated,2830.0,1800.0,Multi-Point Injected,7.0,200.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1550.0,232.0,5.0,Honda,Orange,Odyssey,Automatic
2002.0,195000.0,16800.0,4995.0,2972.0,Aspirated,2960.0,1775.0,Multi-Point Injected,5.0,246.0,Petrol - Unleaded (ULP),Recirculating Ball,Locally Built,1800.0,255.0,4.0,Mitsubishi,Silver,Storm,Automatic
2012.0,60000.0,19800.0,3950.0,1596.0,Aspirated,2489.0,1722.0,Multi-Point Injected,5.0,120.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1475.0,152.0,5.0,Ford,Red,Fiesta,Automatic
2010.0,115000.0,16800.0,3905.0,1597.0,Aspirated,2440.0,1710.0,Multi-Point Injected,5.0,111.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1420.0,148.0,3.0,Proton,Black,Satria,Manual
2013.0,105000.0,33800.0,3900.0,1339.0,Aspirated,2500.0,1695.0,Multi-Point Injected,5.0,88.0,Hybrid,Rack and Pinion,Locally Built,1525.0,121.0,5.0,Honda,White,Jazz,Automatic
2013.0,75000.0,66800.0,4545.0,1997.0,Aspirated,2620.0,1820.0,Multi-Point Injected,5.0,155.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1685.0,190.0,5.0,Honda,Grey,CR-V,Automatic
2019.0,10000.0,69800.0,4410.0,1496.0,Aspirated,2550.0,1700.0,Multi-Point Injected,5.0,107.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1475.0,140.0,4.0,Toyota,Red,Vios,Automatic
2010.0,85000.0,20800.0,4530.0,1998.0,Aspirated,2650.0,1775.0,Multi-Point Injected,5.0,156.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1460.0,194.0,4.0,Kia,Black,Forte,Automatic
2020.0,30000.0,41800.0,4170.0,1329.0,Aspirated,2455.0,1620.0,Multi-Point Injected,5.0,95.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1525.0,121.0,4.0,Perodua,White,Bezza,Automatic
2016.0,130000.0,126800.0,4633.0,1998.0,Twin-scroll turbo,2810.0,1811.0,Direct Injection,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1429.0,290.0,4.0,BMW,Grey,320i,Automatic
2013.0,75000.0,28333.0,4425.0,1498.0,Aspirated,2600.0,1695.0,Multi-Point Injected,5.0,102.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1510.0,139.0,4.0,Nissan,Black,Almera,Automatic
2014.0,80000.0,133000.0,3850.0,1998.0,Twin-scroll turbo,2495.0,1727.0,Direct Injection,4.0,192.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1414.0,280.0,3.0,MINI,Red,3 Door,Automatic
2009.0,110000.0,38800.0,4825.0,2362.0,Aspirated,2775.0,1820.0,Multi-Point Injected,5.0,167.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1470.0,224.0,4.0,Toyota,Black,Camry,Automatic
2011.0,135000.0,108800.0,4877.0,2993.0,Twin Turbo intercooled,2933.0,1983.0,Direct Injection,4.0,306.0,Diesel,Rack and Pinion,Parallel Import,1690.0,600.0,5.0,BMW,White,X6,Automatic
2017.0,95000.0,95000.0,4767.0,1798.0,Turbocharged,2791.0,1832.0,Direct Injection,5.0,179.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1456.0,250.0,4.0,Volkswagen,Bronze,Passat,Automatic
2014.0,75000.0,40800.0,4585.0,1998.0,Aspirated,2750.0,1775.0,Multi-Point Injected,8.0,136.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1760.0,182.0,5.0,Toyota,Blue,Innova,Automatic
2007.0,95000.0,25800.0,4555.0,1998.0,Aspirated,2750.0,1770.0,Multi-Point Injected,8.0,136.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1755.0,182.0,5.0,Toyota,Gold,Innova,Automatic
2007.0,85000.0,29999.0,4841.0,2996.0,Aspirated,2888.0,1846.0,Multi-Point Injected,5.0,272.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1468.0,315.0,4.0,BMW,Black,530i,Automatic
2008.0,115000.0,50000.0,4730.0,2362.0,Aspirated,2715.0,1845.0,Multi-Point Injected,5.0,160.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1680.0,221.0,5.0,Toyota,Black,Harrier,Automatic
2013.0,10000.0,32800.0,4792.0,1598.0,Twin-scroll turbo,2817.0,2068.0,Direct Injection,5.0,158.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1456.0,240.0,4.0,Peugeot,Silver,508,Automatic
2010.0,110000.0,36800.0,5230.0,2488.0,Turbo intercooled,3200.0,1850.0,Direct Injection,5.0,174.0,Diesel,Rack and Pinion,Official Import,1780.0,403.0,4.0,Nissan,Black,Navara,Manual
2009.0,195000.0,25800.0,4420.0,1598.0,Aspirated,2600.0,1690.0,Multi-Point Injected,7.0,105.0,Petrol - Unleaded (ULP),Electronic Power Steering,Locally Built,1590.0,150.0,5.0,Nissan,White,Grand Livina,Automatic
2014.0,45000.0,124888.0,4720.0,1986.0,Aspirated,2660.0,1835.0,Multi-Point Injected,5.0,151.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1690.0,193.0,5.0,Toyota,Black,Harrier,Automatic
2013.0,80000.0,129800.0,4870.0,3456.0,Aspirated,2950.0,1830.0,Multi-Point Injected,7.0,280.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1890.0,344.0,5.0,Toyota,White,Vellfire,Automatic
2015.0,90000.0,64800.0,4690.0,2200.0,Turbocharged,2700.0,1880.0,Direct Injection,7.0,197.0,Diesel,Rack and Pinion,Locally Built,1680.0,436.0,5.0,Hyundai,White,Santa Fe,Automatic
2012.0,90000.0,46700.0,3976.0,1390.0,Turbo supercharged intercooled,2468.0,1682.0,Direct Injection,5.0,179.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1452.0,250.0,5.0,Volkswagen,White,Polo,Automatic
2012.0,95000.0,24800.0,4395.0,1339.0,Aspirated,2550.0,1695.0,Multi-Point Injected,5.0,88.0,Hybrid,Rack and Pinion,Official Import,1425.0,121.0,5.0,Honda,Black,Insight,Automatic
2018.0,5000.0,44988.0,3895.0,1496.0,Aspirated,2500.0,1735.0,Multi-Point Injected,5.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1515.0,136.0,5.0,Perodua,Black,Myvi,Automatic
2019.0,45000.0,43888.0,4384.0,1598.0,Aspirated,2637.0,1699.0,Multi-Point Injected,5.0,105.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1465.0,153.0,4.0,Volkswagen,Grey,Vento,Automatic
2000.0,160000.0,66000.0,3750.0,1794.0,Aspirated,2280.0,1735.0,Multi-Point Injected,4.0,125.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1670.0,161.0,3.0,Toyota,Blue,RAV4,Automatic
2010.0,55000.0,139900.0,4970.0,3605.0,Aspirated,2920.0,1931.0,Direct Injection,4.0,299.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1418.0,400.0,5.0,Porsche,Black,Panamera,Automatic
